ID,yearID,teamID,Rank,R,RA,G,W,H,BB,HBP,AB,SF,HR,2B,3B,salary,BA,OBP,SLG
192,1992,TEX,4,682,753,162,77,1387,550,,5537,,159,266,23,30128167,0.250496658841,0.318219155577,0.392992595268
193,1992,CAL,5,579,671,162,72,1306,416,,5364,,88,202,20,34749334,0.243475018643,0.297923875433,0.337807606264
194,1992,KCA,5,610,667,162,72,1411,439,,5501,,75,284,42,33893834,0.256498818397,0.311447811448,0.364297400473
195,1992,SEA,7,679,799,162,64,1466,474,,5564,,149,278,24,23179833,0.263479511143,0.321298443193,0.402408339324
196,1992,PIT,1,693,595,162,96,1409,569,,5527,,106,272,54,33944167,0.254930341958,0.324475065617,0.381219468066
197,1992,MON,2,648,581,162,87,1381,463,,5477,,102,263,37,15822334,0.252145335037,0.310437710438,0.369545371554
198,1992,SLN,3,631,604,162,83,1464,495,,5594,,94,262,44,27583836,0.261708973901,0.321727705699,0.374687164819
199,1992,CHN,4,593,624,162,78,1420,417,,5590,,104,221,41,29829686,0.254025044723,0.305809888463,0.36404293381
200,1992,NYN,5,599,653,162,72,1254,572,,5340,,93,259,17,44602002,0.234831460674,0.308863328823,0.341947565543
201,1992,PHI,6,686,717,162,70,1392,509,,5500,,118,255,36,24383834,0.253090909091,0.316358795141,0.376909090909
202,1992,ATL,1,682,569,162,98,1391,493,,5480,,138,223,48,34625333,0.253832116788,0.315419387243,0.387591240876
203,1992,CIN,2,660,609,162,90,1418,563,,5460,,99,281,44,35931499,0.259706959707,0.328905860867,0.381684981685
204,1992,SDN,3,617,636,162,82,1396,453,,5476,,135,255,30,26854167,0.254930606282,0.311856974195,0.386413440467
205,1992,HOU,4,608,668,162,81,1350,506,,5480,,96,255,38,15407500,0.246350364964,0.310056799198,0.359306569343
206,1992,SFN,5,574,647,162,72,1330,435,,5456,,105,220,36,33163168,0.243768328446,0.299609573926,0.355021994135
207,1992,LAN,6,548,636,162,63,1333,503,,5368,,72,201,34,44788166,0.248323397914,0.312723556464,0.338673621461
208,1993,TOR,1,847,742,162,95,1556,588,,5579,,159,317,42,47279166,0.278903029217,0.347656883412,0.436278903029
209,1993,NYA,2,821,761,162,88,1568,629,,5615,,178,294,24,42624900,0.279252003562,0.351857783472,0.435262689225
210,1993,BAL,3,786,745,162,85,1470,655,,5508,,157,287,24,29096500,0.26688453159,0.344799610579,0.413217138707
211,1993,DET,3,899,837,162,85,1546,765,,5620,,178,282,38,38150165,0.275088967972,0.361942051684,0.433807829181
212,1993,BOS,5,686,698,162,80,1451,508,,5496,,114,319,29,37120583,0.264010189229,0.326282478348,0.394832605531
213,1993,CLE,6,790,813,162,76,1547,488,,5619,,141,264,31,18561000,0.275315892508,0.333224168986,0.408613632319
214,1993,ML4,7,733,792,162,69,1426,555,,5525,,125,240,25,23806834,0.258099547511,0.325822368421,0.378461538462
215,1993,CHA,1,776,664,162,94,1454,604,,5483,,162,228,44,39696166,0.265183293817,0.338097585017,0.411453583804
216,1993,TEX,2,835,751,162,86,1472,483,,5510,,181,284,39,36376959,0.267150635209,0.326213916236,0.431397459165
217,1993,KCA,3,675,694,162,84,1455,428,,5522,,125,294,35,41346167,0.263491488591,0.316470588235,0.397319811662
218,1993,SEA,4,734,731,162,82,1429,624,,5494,,161,272,24,32696333,0.260101929378,0.335567178817,0.406261376047
219,1993,CAL,5,684,770,162,71,1399,564,,5391,,114,259,24,28588334,0.259506585049,0.329638958858,0.379892413281
220,1993,MIN,5,693,830,162,71,1480,493,,5601,,121,261,27,28217933,0.264238528834,0.323761076469,0.385288341368
221,1993,OAK,7,715,846,162,68,1408,622,,5543,,158,260,21,37812333,0.254014071802,0.329278183293,0.394010463648
222,1993,PHI,1,877,740,162,97,1555,665,,5685,,156,297,51,28538334,0.273526824978,0.349606299213,0.426033421284
223,1993,MON,2,732,682,163,94,1410,542,,5493,,122,270,36,18899333,0.256690333151,0.323446561723,0.385581649372
224,1993,SLN,3,758,744,162,87,1508,588,,5551,,118,262,34,23367334,0.271662763466,0.341423684639,0.39488380472
225,1993,CHN,4,738,739,163,84,1521,446,,5627,,161,259,32,39386666,0.27030389195,0.323892639552,0.413541851786
226,1993,PIT,5,707,806,162,75,1482,536,,5549,,110,267,50,24822467,0.267075148675,0.331635168447,0.392683366372
